Modelo,lattice,topology,variant,ARI,NMI,Silhouette,Davies-Bouldin,Calinski-Harabasz,Pureza Neurônios,Erro Quantização,Erro Topográfico
SOM 5x5 HEX_toroid,HEX,toroid,HEX_toroid,0.5910111920696967,0.7580228844702114,0.1519232148694801,1.820091933874654,184.625663479612,0.8896982656379243,4.74019308042447,0.075
SOM 5x5 HEX_planar,HEX,planar,HEX_planar,0.5966443613805447,0.7504202298756517,0.19058017786389778,1.5930198056008675,202.17351477799323,0.9180918506755177,4.335419775743943,0.105
SOM 5x5 RECT_planar,RECT,planar,RECT_planar,0.6317937786897571,0.8150071733886569,0.14731097680857935,1.6078942366056286,187.03852727965113,0.904850514423625,4.308238896711789,0.0033333333333333335
SOM 5x5 RECT_toroid,RECT,toroid,RECT_toroid,0.6674087975971612,0.8279566221641198,0.07980698595556596,2.44774675562121,153.33555837784886,0.8955643760613194,4.933731317248552,0.03666666666666667
SOM 7x7 HEX_toroid,HEX,toroid,HEX_toroid,0.6300372026809072,0.7767412853179155,0.19932342239394993,1.5731611324987567,209.35076310673682,0.9213449655674334,4.282088126870838,0.11
SOM 7x7 HEX_planar,HEX,planar,HEX_planar,0.6144894831201347,0.7562161084247047,0.20970735206365262,1.5765392692727245,207.00225035005215,0.9451590966965298,4.017378004912145,0.018333333333333333
SOM 7x7 RECT_planar,RECT,planar,RECT_planar,0.6122413224268071,0.7670252808925565,0.18546420336133715,1.6393348792203477,196.22888851245568,0.9404592741280048,4.0572235348869325,0.015
SOM 7x7 RECT_toroid,RECT,toroid,RECT_toroid,0.6339809522594915,0.7639667291998733,0.07366596871351438,2.3770052517084985,160.1486744501652,0.9449611229390641,4.349351431572176,0.04833333333333333
SOM 10x10 HEX_toroid,HEX,toroid,HEX_toroid,0.6405220352282578,0.7979667124289401,0.19457123416333758,1.5797215404503175,205.8003734994815,0.9510476190476191,3.898889076770459,0.07333333333333333
SOM 10x10 HEX_planar,HEX,planar,HEX_planar,0.6630151754239914,0.7982980727123169,0.20255034074049855,1.5531539781407007,207.79527754298476,0.97,3.762781963280438,0.011666666666666667
SOM 10x10 RECT_planar,RECT,planar,RECT_planar,0.6718906788660898,0.8107427826462223,0.20392240045044174,1.6173086737669893,206.5961828845756,0.9850210970464135,3.7117820821547345,0.0016666666666666668
SOM 10x10 RECT_toroid,RECT,toroid,RECT_toroid,0.5852144077868013,0.7436142875988111,0.17537357446339633,1.6286047865708388,200.40271021190503,0.9661349911349911,3.914259298799631,0.07
SOM 12x12 HEX_toroid,HEX,toroid,HEX_toroid,0.6541629590078119,0.8017219597558398,0.20814436982195372,1.5873229812255534,207.11773650443516,0.9775891874901775,3.7322941359683317,0.05333333333333334
SOM 12x12 HEX_planar,HEX,planar,HEX_planar,0.65883041256467,0.7941374163852586,0.20710969006548094,1.5591560533510538,209.0183309862515,0.9878260869565217,3.6127775805717315,0.0033333333333333335
SOM 12x12 RECT_planar,RECT,planar,RECT_planar,0.597034436175874,0.7693906306712307,0.2589721085148076,1.205479697689291,212.26996294571586,0.9875541125541125,3.5949676502873453,0.006666666666666667
SOM 12x12 RECT_toroid,RECT,toroid,RECT_toroid,0.6040024337071833,0.7591674484419968,0.19665882518382302,1.6233391746970394,206.05596732352328,0.9794238683127572,3.736811397060534,0.05
SOM 15x15 HEX_toroid,HEX,toroid,HEX_toroid,0.641931307693025,0.7794771706707166,0.2047633786869598,1.5626698733502087,210.3038979162485,0.9877358490566038,3.5129929345445174,0.021666666666666667
SOM 15x15 HEX_planar,HEX,planar,HEX_planar,0.5901601461460088,0.7612542501445383,0.26180963643176863,1.2027652540150018,212.95620693719496,0.9890476190476191,3.425026189204773,0.006666666666666667
SOM 15x15 RECT_planar,RECT,planar,RECT_planar,0.5980764334801167,0.7763724876163457,0.25835413755756925,1.2156908821285766,211.9457540677187,0.9872549019607844,3.458349600784816,0.005
SOM 15x15 RECT_toroid,RECT,toroid,RECT_toroid,0.6533427412372508,0.7913033665070951,0.20573259399607166,1.6090320895532082,208.815291246083,0.9905228758169935,3.546431731067405,0.028333333333333332
SOM 20x20 HEX_toroid,HEX,toroid,HEX_toroid,0.6571436105198851,0.7886841821383326,0.2049953618613949,1.5567115024023097,210.55882096645692,0.9924528301886792,3.319641756639976,0.02666666666666667
SOM 20x20 HEX_planar,HEX,planar,HEX_planar,0.5925586561355913,0.7675359246863851,0.2586889442302066,1.2149228301801192,211.83562217023413,0.9950433705080544,3.2357280548323244,0.011666666666666667
SOM 20x20 RECT_planar,RECT,planar,RECT_planar,0.6594240029084679,0.7979988123099477,0.20433670773826834,1.6009608033369795,207.7719495033821,0.9949874686716791,3.242026040344519,0.0033333333333333335
SOM 20x20 RECT_toroid,RECT,toroid,RECT_toroid,0.6506651878175282,0.7892589946496136,0.20528319474040455,1.5427470997014294,211.2770447163117,0.981908302354399,3.3191560129017468,0.02666666666666667
K-Means (Direto),N/A,N/A,baseline,0.568100291666193,0.7410812863322819,0.2710398322948481,1.2105059565972882,214.48693234549305,,,
PCA + K-Means,N/A,N/A,baseline,0.6096211462315787,0.7188561117363224,0.14810668609825825,1.9505083715684066,182.77624435035142,,,
Agglomerative (K=6),N/A,N/A,baseline,0.616042904903928,0.8007911127058996,0.250993518422146,1.202078390062834,209.52372907801177,,,
DBSCAN,N/A,N/A,baseline,0.14183381088825214,0.40187044901108,0.18189590687918009,2.3494951777925634,55.964028791636935,,,
