dataset,model,size,variant,n_seeds,n_unique_pearson_r,pearson_r_std,n_unique_seg_ari,seg_ari_std,convergence_status
digits,SOM_10x10_RECT_planar,10x10,RECT_planar,30,19,0.0017256917664235207,19,0.07130154883107476,variable_basin
digits,SOM_10x10_RECT_toroid,10x10,RECT_toroid,30,30,0.00021530586344471828,30,0.10000433486501784,variable_basin
digits,SOM_12x12_RECT_planar,12x12,RECT_planar,30,16,0.00038232187748513634,29,0.08231534097959158,variable_basin
digits,SOM_12x12_RECT_toroid,12x12,RECT_toroid,30,28,4.929737566624553e-05,30,0.12494597836463586,variable_basin
digits,SOM_15x15_RECT_planar,15x15,RECT_planar,30,14,0.00034744816867524113,19,0.079345488150333,variable_basin
digits,SOM_15x15_RECT_toroid,15x15,RECT_toroid,30,27,9.672304119654527e-05,30,0.0840672627652848,variable_basin
digits,SOM_20x20_RECT_planar,20x20,RECT_planar,30,19,0.00012038097032220718,30,0.10882045728144915,variable_basin
digits,SOM_20x20_RECT_toroid,20x20,RECT_toroid,30,30,5.536180837827497e-05,29,0.13541843739987525,variable_basin
digits,SOM_5x5_RECT_planar,5x5,RECT_planar,30,23,0.033239101074143684,13,0.045397530991914986,variable_basin
digits,SOM_5x5_RECT_toroid,5x5,RECT_toroid,30,21,0.003530972534433094,10,0.04575638923653844,variable_basin
digits,SOM_7x7_RECT_planar,7x7,RECT_planar,30,18,0.002827591807549102,17,0.048856393977535925,variable_basin
digits,SOM_7x7_RECT_toroid,7x7,RECT_toroid,30,27,0.0009255806081347804,22,0.06880864787135924,variable_basin
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,30,14,0.0005176547877679508,10,0.07148754371534474,variable_basin
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,30,30,0.00012151152675156005,27,0.13091212777178302,variable_basin
synthetic_control,SOM_12x12_RECT_planar,12x12,RECT_planar,30,10,0.0003883499834929311,12,0.0400948553025218,variable_basin
synthetic_control,SOM_12x12_RECT_toroid,12x12,RECT_toroid,30,30,0.00010251932061750412,28,0.07460965448837246,variable_basin
synthetic_control,SOM_15x15_RECT_planar,15x15,RECT_planar,30,11,0.0002744686695334195,10,0.048065070942668014,variable_basin
synthetic_control,SOM_15x15_RECT_toroid,15x15,RECT_toroid,30,22,3.437711020151816e-05,22,0.12249743491569641,variable_basin
synthetic_control,SOM_20x20_RECT_planar,20x20,RECT_planar,30,8,0.00020491326026771326,23,0.049109907534747345,variable_basin
synthetic_control,SOM_20x20_RECT_toroid,20x20,RECT_toroid,30,30,5.430411680027431e-05,30,0.13964798723707317,variable_basin
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,30,8,0.0016772234499507204,3,0.14470430599116565,variable_basin
synthetic_control,SOM_5x5_RECT_toroid,5x5,RECT_toroid,30,19,0.00123519264508111,10,0.1869415657133813,variable_basin
synthetic_control,SOM_7x7_RECT_planar,7x7,RECT_planar,30,8,0.0010544439966398895,7,0.13607508652997471,variable_basin
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,30,16,0.0005837268994964792,7,0.07471779651558781,variable_basin
wine,SOM_10x10_RECT_planar,10x10,RECT_planar,30,8,0.00041034701180046277,2,0.046172844897877666,variable_basin
wine,SOM_10x10_RECT_toroid,10x10,RECT_toroid,30,24,0.0001663929973778068,10,0.08700390423824556,variable_basin
wine,SOM_12x12_RECT_planar,12x12,RECT_planar,30,5,0.00029497460476114203,7,0.08273719045343361,variable_basin
wine,SOM_12x12_RECT_toroid,12x12,RECT_toroid,30,27,8.022757365227736e-05,18,0.04938631778577639,variable_basin
wine,SOM_15x15_RECT_planar,15x15,RECT_planar,30,5,5.784582543699563e-05,3,0.006463724522214213,variable_basin
wine,SOM_15x15_RECT_toroid,15x15,RECT_toroid,30,14,4.195484630455883e-05,9,0.01727487469803271,variable_basin
wine,SOM_20x20_RECT_planar,20x20,RECT_planar,30,6,5.4224149671303876e-05,3,0.06745439049332456,variable_basin
wine,SOM_20x20_RECT_toroid,20x20,RECT_toroid,30,26,6.888560122277612e-05,23,0.025438582658110467,variable_basin
wine,SOM_5x5_RECT_planar,5x5,RECT_planar,30,9,0.001844392693944088,2,0.141203208828132,variable_basin
wine,SOM_5x5_RECT_toroid,5x5,RECT_toroid,30,14,0.0012682885445753354,6,0.2021604394693176,variable_basin
wine,SOM_7x7_RECT_planar,7x7,RECT_planar,30,8,0.00014210835582012928,2,0.020961918648015502,variable_basin
wine,SOM_7x7_RECT_toroid,7x7,RECT_toroid,30,7,3.6181501781492973e-16,1,3.387607712450221e-16,stable_basin
