dataset,model,size,variant,seed,pearson_r,rel_diff_pct,scale_ratio,seg_ari,ari_ground_a,ari_ground_b
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,42,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,43,0.9879561263485951,16.575809716573257,1.1657580971657326,1.0,0.33623668191051154,0.33623668191051154
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,44,0.9916562303664216,16.929617097784426,1.1692961709778442,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,45,0.9878796959598993,16.616076297780165,1.1661607629778017,0.8790105753719305,0.2589533184174485,0.2628454952279023
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,46,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,47,0.9878796959598993,16.616076297780165,1.1661607629778017,0.8790105753719305,0.2589533184174485,0.2628454952279023
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,48,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,49,0.9916562303664214,16.929617097784426,1.1692961709778442,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,50,0.9916562303664216,16.929617097784433,1.1692961709778447,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,51,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,52,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,53,0.9879561263485952,16.575809716573257,1.1657580971657329,1.0,0.33623668191051154,0.33623668191051154
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,54,0.9879561263485951,16.575809716573257,1.1657580971657326,1.0,0.33623668191051154,0.33623668191051154
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,55,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,56,0.9916562303664216,16.929617097784426,1.1692961709778442,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,57,0.9916562303664216,16.929617097784426,1.1692961709778442,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,58,0.9916562303664214,16.929617097784426,1.1692961709778442,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,59,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,60,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,61,0.9916562303664217,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,62,0.9916562303664216,16.929617097784426,1.1692961709778442,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,63,0.9916562303664216,16.929617097784433,1.1692961709778447,0.6402590135102726,0.205270931471263,0.17237688407227073
synthetic_control,SOM_5x5_RECT_planar,5x5,RECT_planar,64,0.9916562303664214,16.929617097784426,1.1692961709778444,0.6402590135102726,0.205270931471263,0.17237688407227073
