dataset,model,size,variant,n_seeds,pearson_r_mean,pearson_r_std,pearson_r_ci95,rel_diff_pct_mean,rel_diff_pct_std,rel_diff_ci95,scale_ratio_mean,scale_ratio_std,scale_ci95,seg_ari_mean,seg_ari_std,seg_ari_ci95,ari_ground_a_mean,ari_ground_a_std,ari_ground_b_mean,ari_ground_b_std,wilcoxon_p_raw,wilcoxon_p_fdr,h0_rejected_fdr,pearson_r,rel_diff_pct,scale_ratio,seg_ari
wine,SOM_5x5_RECT_planar,5x5,RECT_planar,30,0.9921649090642349,0.001844392693944088,"[0.9916, 0.9928]",17.51718065998411,0.06003921017060588,"[17.50, 17.54]",1.1751718065998409,0.0006003921017059795,"[1.1750, 1.1754]",0.41390480864956314,0.141203208828132,"[0.372, 0.466]",0.045175868360291485,0.003141182299518806,0.03959658672282659,0.010046068908039739,0.6570499586407907,0.7167817730626808,False,0.9921649090642349,17.51718065998411,1.1751718065998409,0.41390480864956314
wine,SOM_5x5_RECT_toroid,5x5,RECT_toroid,30,0.9830731372610552,0.0012682885445753354,"[0.9826, 0.9835]",20.051172651378394,0.02805778533789741,"[20.04, 20.06]",1.2005117265137837,0.000280577853378908,"[1.2004, 1.2006]",0.5330126144542423,0.2021604394693176,"[0.460, 0.600]",0.1297760634569599,0.11708041537135923,0.09280125867831995,0.02806994467377101,0.13697129448477496,0.18262839264636663,False,0.9830731372610552,20.051172651378394,1.2005117265137837,0.5330126144542423
wine,SOM_7x7_RECT_planar,7x7,RECT_planar,30,0.9946082107637234,0.00014210835582012928,"[0.9946, 0.9947]",18.20260683770205,0.012294710573343439,"[18.20, 18.21]",1.1820260683770205,0.00012294710573341252,"[1.1820, 1.1821]",0.7193883447671633,0.020961918648015502,"[0.712, 0.727]",0.04676774081876052,0.014596322906350441,0.030781563412116998,0.00038293814053840593,2.0829850623259767e-05,4.9991641495823444e-05,True,0.9946082107637234,18.20260683770205,1.1820260683770205,0.7193883447671633
wine,SOM_7x7_RECT_toroid,7x7,RECT_toroid,30,0.9987387623506349,3.6181501781492973e-16,"[0.9987, 0.9987]",20.33560282690601,5.519633339420208e-15,"[20.34, 20.34]",1.2033560282690603,2.439356352479611e-16,"[1.2034, 1.2034]",0.9260513481181563,3.387607712450221e-16,"[0.926, 0.926]",0.0687279982502074,1.4115032135209254e-17,0.06416633495673292,1.4115032135209254e-17,4.320463057827488e-08,5.184555669392986e-07,True,0.9987387623506349,20.33560282690601,1.2033560282690603,0.9260513481181563
wine,SOM_10x10_RECT_planar,10x10,RECT_planar,30,0.9961857739454699,0.00041034701180046277,"[0.9960, 0.9963]",18.812254606842934,0.01127720045565093,"[18.81, 18.82]",1.1881225460684293,0.00011277200455643472,"[1.1881, 1.1882]",0.8085306345842563,0.046172844897877666,"[0.794, 0.826]",0.0504673965248638,0.009495843705061895,0.03383571050289972,0.0031511785065756782,8.250565145301864e-06,2.4751695435905593e-05,True,0.9961857739454699,18.812254606842934,1.1881225460684293,0.8085306345842563
wine,SOM_10x10_RECT_toroid,10x10,RECT_toroid,30,0.9994595336859183,0.0001663929973778068,"[0.9994, 0.9995]",20.519703830673745,0.07131017967775694,"[20.49, 20.55]",1.2051970383067379,0.0007131017967775666,"[1.2049, 1.2055]",0.9229117863748618,0.08700390423824556,"[0.890, 0.951]",0.003435182241769585,0.008440714099955565,0.0020306467905730503,0.00951629437702203,0.0304184125290934,0.0456276187936401,True,0.9994595336859183,20.519703830673745,1.2051970383067379,0.9229117863748618
wine,SOM_12x12_RECT_planar,12x12,RECT_planar,30,0.9965000451017226,0.00029497460476114203,"[0.9964, 0.9966]",18.951829564762026,0.04348145748108743,"[18.94, 18.97]",1.1895182956476202,0.0004348145748108032,"[1.1894, 1.1897]",0.8717334398406239,0.08273719045343361,"[0.842, 0.899]",0.006205082000583784,0.0018730806905195175,0.0018664680189251941,0.0026461615912402683,1.3733063751041116e-06,5.493225500416446e-06,True,0.9965000451017226,18.951829564762026,1.1895182956476202,0.8717334398406239
wine,SOM_12x12_RECT_toroid,12x12,RECT_toroid,30,0.9995974729873223,8.022757365227736e-05,"[0.9996, 0.9996]",20.526917036797848,0.05565158799513929,"[20.51, 20.55]",1.2052691703679783,0.000556515879951393,"[1.2051, 1.2055]",0.9484483279543574,0.04938631778577639,"[0.931, 0.965]",-0.005252790161182648,0.0033073947096034792,-0.005420492723690762,0.0037686533675427777,0.7223389919650491,0.722338991965049,False,0.9995974729873223,20.526917036797848,1.2052691703679783,0.9484483279543574
wine,SOM_15x15_RECT_planar,15x15,RECT_planar,30,0.99686966752449,5.784582543699563e-05,"[0.9968, 0.9969]",19.204144963042648,0.044230744452930786,"[19.19, 19.22]",1.1920414496304266,0.0004423074445292491,"[1.1919, 1.1922]",0.9421766080580984,0.006463724522214213,"[0.940, 0.944]",0.0054368876926215405,0.00924687456147362,0.00634249048582739,0.007944264646279032,0.001565402258002548,0.002683546728004368,True,0.99686966752449,19.204144963042648,1.1920414496304266,0.9421766080580984
wine,SOM_15x15_RECT_toroid,15x15,RECT_toroid,30,0.9995878340707974,4.195484630455883e-05,"[0.9996, 0.9996]",20.459976352797653,0.03761156184925401,"[20.45, 20.47]",1.2045997635279764,0.0003761156184925316,"[1.2045, 1.2047]",0.9752893186616208,0.01727487469803271,"[0.969, 0.981]",-0.0059475743836747055,0.00836527851707607,-0.00710159001639835,0.008597451102692,3.0510475005638794e-05,6.102095001127759e-05,True,0.9995878340707974,20.459976352797653,1.2045997635279764,0.9752893186616208
